Gene	KO	Threshold	Score	E-value	KO Definition
KJDGAD_00735	K20265	196.43	117.8	6e-35	glutamate:GABA antiporter
KJDGAD_01170	K20265	196.43	469.9	1.5e-141	glutamate:GABA antiporter
KJDGAD_01175	K01580	336.9	318.0	1.7e-95	glutamate decarboxylase [EC:4.1.1.15]
KJDGAD_01345	K20265	196.43	175.5	2e-52	glutamate:GABA antiporter
KJDGAD_02025	K20265	196.43	98.8	3.5e-29	glutamate:GABA antiporter
KJDGAD_02740	K20265	196.43	2.9	3.8	glutamate:GABA antiporter
KJDGAD_04225	K20265	196.43	30.6	1.5e-08	glutamate:GABA antiporter
KJDGAD_05040	K01580	336.9	38.0	8.9e-11	glutamate decarboxylase [EC:4.1.1.15]
KJDGAD_05145	K20265	196.43	7.0	0.22	glutamate:GABA antiporter
KJDGAD_05370	K20265	196.43	67.1	1.4e-19	glutamate:GABA antiporter
KJDGAD_05420	K20265	196.43	112.4	2.7e-33	glutamate:GABA antiporter
KJDGAD_06085	K20265	196.43	88.8	3.8e-26	glutamate:GABA antiporter
KJDGAD_06835	K20265	196.43	192.9	1.1e-57	glutamate:GABA antiporter
KJDGAD_07510	K20265	196.43	19.5	3.5e-05	glutamate:GABA antiporter
KJDGAD_08820	K20265	196.43	16.7	0.00025	glutamate:GABA antiporter
KJDGAD_09115	K01580	336.9	26.9	2e-07	glutamate decarboxylase [EC:4.1.1.15]
KJDGAD_09860	K20265	196.43	119.1	2.4e-35	glutamate:GABA antiporter
KJDGAD_10245	K20265	196.43	127.8	5.7e-38	glutamate:GABA antiporter
KJDGAD_10560	K20265	196.43	100.4	1.2e-29	glutamate:GABA antiporter
KJDGAD_10775	K20265	196.43	103.6	1.2e-30	glutamate:GABA antiporter
KJDGAD_10915	K20265	196.43	128.9	2.7e-38	glutamate:GABA antiporter
KJDGAD_11185	K20265	196.43	16.1	0.00037	glutamate:GABA antiporter
KJDGAD_11250	K01580	336.9	379.3	4.6e-114	glutamate decarboxylase [EC:4.1.1.15]
KJDGAD_11405	K20265	196.43	129.1	2.3e-38	glutamate:GABA antiporter
KJDGAD_11905	K20265	196.43	7.9	0.12	glutamate:GABA antiporter
KJDGAD_12135	K20265	196.43	101.1	7.1e-30	glutamate:GABA antiporter
KJDGAD_12575	K20265	196.43	8.5	0.074	glutamate:GABA antiporter
KJDGAD_12620	K20265	196.43	125.7	2.6000000000000002e-37	glutamate:GABA antiporter
KJDGAD_13065	K20265	196.43	373.2	3e-112	glutamate:GABA antiporter
KJDGAD_13080	K20265	196.43	388.0	1e-116	glutamate:GABA antiporter
KJDGAD_13085	K01580	336.9	87.4	1e-25	glutamate decarboxylase [EC:4.1.1.15]
